state,district,year,month,enrolments,growth_rate,rolling_3m
Andaman and Nicobar Islands,North And Middle Andaman,2025.0,7.0,1,-50.0,1.3333333333333333
Andaman and Nicobar Islands,North And Middle Andaman,2025.0,8.0,2,100.0,1.6666666666666667
Andaman and Nicobar Islands,North And Middle Andaman,2025.0,9.0,4,100.0,2.3333333333333335
Andaman and Nicobar Islands,North And Middle Andaman,2025.0,10.0,4,0.0,3.3333333333333335
Andaman and Nicobar Islands,North And Middle Andaman,2025.0,11.0,5,25.0,4.333333333333333
Andaman and Nicobar Islands,North And Middle Andaman,2025.0,12.0,2,-60.0,3.6666666666666665
Andaman and Nicobar Islands,South Andaman,2025.0,1.0,7,,
Andaman and Nicobar Islands,South Andaman,2025.0,2.0,2,-71.42857142857143,
Andaman and Nicobar Islands,South Andaman,2025.0,3.0,3,50.0,4.0
Andaman and Nicobar Islands,South Andaman,2025.0,4.0,4,33.33333333333333,3.0
Andaman and Nicobar Islands,South Andaman,2025.0,5.0,5,25.0,4.0
Andaman and Nicobar Islands,South Andaman,2025.0,7.0,2,-60.0,3.6666666666666665
Andaman and Nicobar Islands,South Andaman,2025.0,8.0,10,400.0,5.666666666666667
Andaman and Nicobar Islands,South Andaman,2025.0,9.0,2,-80.0,4.666666666666667
Andaman and Nicobar Islands,South Andaman,2025.0,10.0,4,100.0,5.333333333333333
Andaman and Nicobar Islands,South Andaman,2025.0,11.0,4,0.0,3.3333333333333335
Andaman and Nicobar Islands,South Andaman,2025.0,12.0,3,-25.0,3.6666666666666665
Andhra Pradesh,Adilabad,2025.0,1.0,32,,
Andhra Pradesh,Adilabad,2025.0,2.0,37,15.625,
Andhra Pradesh,Adilabad,2025.0,3.0,33,-10.81081081081081,34.0
Andhra Pradesh,Adilabad,2025.0,4.0,14,-57.57575757575757,28.0
Andhra Pradesh,Adilabad,2025.0,5.0,25,78.57142857142858,24.0
Andhra Pradesh,Adilabad,2025.0,6.0,24,-4.0000000000000036,21.0
Andhra Pradesh,Adilabad,2025.0,7.0,11,-54.16666666666667,20.0
Andhra Pradesh,Adilabad,2025.0,8.0,33,200.0,22.666666666666668
Andhra Pradesh,Adilabad,2025.0,9.0,30,-9.090909090909093,24.666666666666668
Andhra Pradesh,Adilabad,2025.0,10.0,30,0.0,31.0
Andhra Pradesh,Adilabad,2025.0,11.0,26,-13.33333333333333,28.666666666666668
Andhra Pradesh,Adilabad,2025.0,12.0,28,7.692307692307687,28.0
Andhra Pradesh,Alluri Sitharama Raju,2025.0,1.0,9,,
Andhra Pradesh,Alluri Sitharama Raju,2025.0,2.0,19,111.11111111111111,
Andhra Pradesh,Alluri Sitharama Raju,2025.0,3.0,21,10.526315789473696,16.333333333333332
Andhra Pradesh,Alluri Sitharama Raju,2025.0,4.0,7,-66.66666666666667,15.666666666666666
Andhra Pradesh,Alluri Sitharama Raju,2025.0,5.0,25,257.14285714285717,17.666666666666668
Andhra Pradesh,Alluri Sitharama Raju,2025.0,6.0,19,-24.0,17.0
Andhra Pradesh,Alluri Sitharama Raju,2025.0,7.0,14,-26.315789473684216,19.333333333333332
Andhra Pradesh,Alluri Sitharama Raju,2025.0,8.0,18,28.57142857142858,17.0
Andhra Pradesh,Alluri Sitharama Raju,2025.0,9.0,17,-5.555555555555558,16.333333333333332
Andhra Pradesh,Alluri Sitharama Raju,2025.0,10.0,24,41.176470588235304,19.666666666666668
Andhra Pradesh,Alluri Sitharama Raju,2025.0,11.0,21,-12.5,20.666666666666668
Andhra Pradesh,Alluri Sitharama Raju,2025.0,12.0,22,4.761904761904767,22.333333333333332
Andhra Pradesh,Anakapalli,2025.0,1.0,8,,
Andhra Pradesh,Anakapalli,2025.0,2.0,13,62.5,
Andhra Pradesh,Anakapalli,2025.0,3.0,15,15.384615384615374,12.0
Andhra Pradesh,Anakapalli,2025.0,4.0,7,-53.333333333333336,11.666666666666666
Andhra Pradesh,Anakapalli,2025.0,5.0,6,-14.28571428571429,9.333333333333334
Andhra Pradesh,Anakapalli,2025.0,6.0,10,66.66666666666667,7.666666666666667
Andhra Pradesh,Anakapalli,2025.0,7.0,4,-60.0,6.666666666666667
Andhra Pradesh,Anakapalli,2025.0,8.0,12,200.0,8.666666666666666
Andhra Pradesh,Anakapalli,2025.0,9.0,13,8.333333333333325,9.666666666666666
Andhra Pradesh,Anakapalli,2025.0,10.0,12,-7.692307692307687,12.333333333333334
Andhra Pradesh,Anakapalli,2025.0,11.0,12,0.0,12.333333333333334
Andhra Pradesh,Anakapalli,2025.0,12.0,8,-33.333333333333336,10.666666666666666
Andhra Pradesh,Anantapur,2025.0,1.0,61,,
Andhra Pradesh,Anantapur,2025.0,2.0,97,59.01639344262295,
Andhra Pradesh,Anantapur,2025.0,3.0,81,-16.49484536082474,79.66666666666667
Andhra Pradesh,Anantapur,2025.0,4.0,36,-55.55555555555556,71.33333333333333
Andhra Pradesh,Anantapur,2025.0,5.0,61,69.44444444444444,59.333333333333336
Andhra Pradesh,Anantapur,2025.0,6.0,75,22.95081967213115,57.333333333333336
Andhra Pradesh,Anantapur,2025.0,7.0,45,-40.0,60.333333333333336
Andhra Pradesh,Anantapur,2025.0,8.0,75,66.66666666666667,65.0
Andhra Pradesh,Anantapur,2025.0,9.0,58,-22.666666666666668,59.333333333333336
Andhra Pradesh,Anantapur,2025.0,10.0,72,24.13793103448276,68.33333333333333
Andhra Pradesh,Anantapur,2025.0,11.0,79,9.722222222222232,69.66666666666667
Andhra Pradesh,Anantapur,2025.0,12.0,73,-7.594936708860756,74.66666666666667
Andhra Pradesh,Ananthapur,2025.0,1.0,26,,
Andhra Pradesh,Ananthapur,2025.0,2.0,49,88.46153846153845,
Andhra Pradesh,Ananthapur,2025.0,3.0,32,-34.693877551020414,35.666666666666664
Andhra Pradesh,Ananthapur,2025.0,4.0,17,-46.875,32.666666666666664
Andhra Pradesh,Ananthapur,2025.0,5.0,34,100.0,27.666666666666668
Andhra Pradesh,Ananthapur,2025.0,6.0,37,8.823529411764696,29.333333333333332
Andhra Pradesh,Ananthapur,2025.0,7.0,23,-37.83783783783784,31.333333333333332
Andhra Pradesh,Ananthapur,2025.0,8.0,39,69.56521739130434,33.0
Andhra Pradesh,Ananthapur,2025.0,9.0,39,0.0,33.666666666666664
Andhra Pradesh,Ananthapur,2025.0,10.0,31,-20.512820512820518,36.333333333333336
Andhra Pradesh,Ananthapur,2025.0,11.0,32,3.2258064516129004,34.0
Andhra Pradesh,Ananthapur,2025.0,12.0,42,31.25,35.0
Andhra Pradesh,Ananthapuramu,2025.0,1.0,42,,
Andhra Pradesh,Ananthapuramu,2025.0,2.0,72,71.42857142857142,
Andhra Pradesh,Ananthapuramu,2025.0,3.0,64,-11.111111111111116,59.333333333333336
Andhra Pradesh,Ananthapuramu,2025.0,4.0,28,-56.25,54.666666666666664
Andhra Pradesh,Ananthapuramu,2025.0,5.0,41,46.428571428571416,44.333333333333336
Andhra Pradesh,Ananthapuramu,2025.0,6.0,46,12.195121951219523,38.333333333333336
Andhra Pradesh,Ananthapuramu,2025.0,7.0,28,-39.13043478260869,38.333333333333336
Andhra Pradesh,Ananthapuramu,2025.0,8.0,56,100.0,43.333333333333336
Andhra Pradesh,Ananthapuramu,2025.0,9.0,42,-25.0,42.0
Andhra Pradesh,Ananthapuramu,2025.0,10.0,46,9.523809523809534,48.0
Andhra Pradesh,Ananthapuramu,2025.0,11.0,49,6.521739130434789,45.666666666666664
Andhra Pradesh,Ananthapuramu,2025.0,12.0,53,8.163265306122458,49.333333333333336
Andhra Pradesh,Annamayya,2025.0,1.0,8,,
Andhra Pradesh,Annamayya,2025.0,2.0,26,225.0,
Andhra Pradesh,Annamayya,2025.0,3.0,13,-50.0,15.666666666666666
Andhra Pradesh,Annamayya,2025.0,4.0,13,0.0,17.333333333333332
Andhra Pradesh,Annamayya,2025.0,5.0,25,92.3076923076923,17.0
Andhra Pradesh,Annamayya,2025.0,6.0,18,-28.000000000000004,18.666666666666668
Andhra Pradesh,Annamayya,2025.0,7.0,11,-38.888888888888886,18.0
Andhra Pradesh,Annamayya,2025.0,8.0,19,72.72727272727273,16.0
Andhra Pradesh,Annamayya,2025.0,9.0,20,5.263157894736836,16.666666666666668
Andhra Pradesh,Annamayya,2025.0,10.0,25,25.0,21.333333333333332
Andhra Pradesh,Annamayya,2025.0,11.0,15,-40.0,20.0
Andhra Pradesh,Annamayya,2025.0,12.0,21,39.99999999999999,20.333333333333332
Andhra Pradesh,Bapatla,2025.0,1.0,8,,
Andhra Pradesh,Bapatla,2025.0,2.0,11,37.5,
Andhra Pradesh,Bapatla,2025.0,3.0,11,0.0,10.0
Andhra Pradesh,Bapatla,2025.0,4.0,4,-63.63636363636363,8.666666666666666
Andhra Pradesh,Bapatla,2025.0,5.0,13,225.0,9.333333333333334
Andhra Pradesh,Bapatla,2025.0,6.0,8,-38.46153846153846,8.333333333333334
Andhra Pradesh,Bapatla,2025.0,7.0,7,-12.5,9.333333333333334
Andhra Pradesh,Bapatla,2025.0,8.0,11,57.14285714285714,8.666666666666666
Andhra Pradesh,Bapatla,2025.0,9.0,16,45.45454545454546,11.333333333333334
Andhra Pradesh,Bapatla,2025.0,10.0,13,-18.75,13.333333333333334
Andhra Pradesh,Bapatla,2025.0,11.0,13,0.0,14.0
Andhra Pradesh,Bapatla,2025.0,12.0,6,-53.84615384615385,10.666666666666666
Andhra Pradesh,Chittoor,2025.0,1.0,86,,
Andhra Pradesh,Chittoor,2025.0,2.0,127,47.67441860465116,
Andhra Pradesh,Chittoor,2025.0,3.0,102,-19.685039370078737,105.0
Andhra Pradesh,Chittoor,2025.0,4.0,53,-48.0392156862745,94.0
Andhra Pradesh,Chittoor,2025.0,5.0,93,75.47169811320755,82.66666666666667
Andhra Pradesh,Chittoor,2025.0,6.0,98,5.376344086021501,81.33333333333333
Andhra Pradesh,Chittoor,2025.0,7.0,48,-51.02040816326531,79.66666666666667
Andhra Pradesh,Chittoor,2025.0,8.0,112,133.33333333333334,86.0
Andhra Pradesh,Chittoor,2025.0,9.0,91,-18.75,83.66666666666667
Andhra Pradesh,Chittoor,2025.0,10.0,121,32.967032967032964,108.0
Andhra Pradesh,Chittoor,2025.0,11.0,105,-13.223140495867769,105.66666666666667
Andhra Pradesh,Chittoor,2025.0,12.0,103,-1.904761904761909,109.66666666666667
Andhra Pradesh,Cuddapah,2025.0,1.0,69,,
Andhra Pradesh,Cuddapah,2025.0,2.0,103,49.27536231884058,
Andhra Pradesh,Cuddapah,2025.0,3.0,90,-12.621359223300976,87.33333333333333
Andhra Pradesh,Cuddapah,2025.0,4.0,42,-53.333333333333336,78.33333333333333
Andhra Pradesh,Cuddapah,2025.0,5.0,84,100.0,72.0
Andhra Pradesh,Cuddapah,2025.0,6.0,87,3.571428571428581,71.0
Andhra Pradesh,Cuddapah,2025.0,7.0,40,-54.02298850574713,70.33333333333333
Andhra Pradesh,Cuddapah,2025.0,8.0,87,117.49999999999999,71.33333333333333
Andhra Pradesh,Cuddapah,2025.0,9.0,72,-17.24137931034483,66.33333333333333
Andhra Pradesh,Cuddapah,2025.0,10.0,89,23.611111111111114,82.66666666666667
Andhra Pradesh,Cuddapah,2025.0,11.0,84,-5.61797752808989,81.66666666666667
Andhra Pradesh,Cuddapah,2025.0,12.0,70,-16.666666666666664,81.0
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025.0,1.0,10,,
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025.0,2.0,22,120.00000000000001,
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025.0,3.0,15,-31.818181818181824,15.666666666666666
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025.0,4.0,4,-73.33333333333334,13.666666666666666
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025.0,5.0,14,250.0,11.0
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025.0,6.0,17,21.42857142857142,11.666666666666666
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025.0,7.0,9,-47.05882352941176,13.333333333333334
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025.0,8.0,19,111.11111111111111,15.0
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025.0,9.0,16,-15.789473684210531,14.666666666666666
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025.0,10.0,19,18.75,18.0
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025.0,11.0,13,-31.57894736842105,16.0
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025.0,12.0,19,46.153846153846146,17.0
Andhra Pradesh,East Godavari,2025.0,1.0,103,,
Andhra Pradesh,East Godavari,2025.0,2.0,174,68.93203883495144,
Andhra Pradesh,East Godavari,2025.0,3.0,120,-31.034482758620683,132.33333333333334
Andhra Pradesh,East Godavari,2025.0,4.0,67,-44.166666666666664,120.33333333333333
Andhra Pradesh,East Godavari,2025.0,5.0,128,91.04477611940298,105.0
Andhra Pradesh,East Godavari,2025.0,6.0,105,-17.96875,100.0
Andhra Pradesh,East Godavari,2025.0,7.0,58,-44.76190476190476,97.0
Andhra Pradesh,East Godavari,2025.0,8.0,133,129.31034482758622,98.66666666666667
Andhra Pradesh,East Godavari,2025.0,9.0,114,-14.28571428571429,101.66666666666667
Andhra Pradesh,East Godavari,2025.0,10.0,144,26.315789473684205,130.33333333333334
Andhra Pradesh,East Godavari,2025.0,11.0,117,-18.75,125.0
Andhra Pradesh,East Godavari,2025.0,12.0,109,-6.8376068376068355,123.33333333333333
Andhra Pradesh,Eluru,2025.0,1.0,4,,
Andhra Pradesh,Eluru,2025.0,2.0,24,500.0,
Andhra Pradesh,Eluru,2025.0,3.0,11,-54.16666666666667,13.0
Andhra Pradesh,Eluru,2025.0,4.0,7,-36.36363636363637,14.0
Andhra Pradesh,Eluru,2025.0,5.0,10,42.85714285714286,9.333333333333334
Andhra Pradesh,Eluru,2025.0,6.0,21,110.00000000000001,12.666666666666666
Andhra Pradesh,Eluru,2025.0,7.0,8,-61.904761904761905,13.0
Andhra Pradesh,Eluru,2025.0,8.0,15,87.5,14.666666666666666
Andhra Pradesh,Eluru,2025.0,9.0,17,13.33333333333333,13.333333333333334
Andhra Pradesh,Eluru,2025.0,10.0,25,47.058823529411775,19.0
Andhra Pradesh,Eluru,2025.0,11.0,25,0.0,22.333333333333332
Andhra Pradesh,Eluru,2025.0,12.0,11,-56.00000000000001,20.333333333333332
Andhra Pradesh,Guntur,2025.0,1.0,87,,
Andhra Pradesh,Guntur,2025.0,2.0,137,57.47126436781609,
Andhra Pradesh,Guntur,2025.0,3.0,107,-21.897810218978098,110.33333333333333
Andhra Pradesh,Guntur,2025.0,4.0,53,-50.46728971962617,99.0
Andhra Pradesh,Guntur,2025.0,5.0,109,105.66037735849059,89.66666666666667
Andhra Pradesh,Guntur,2025.0,6.0,118,8.25688073394495,93.33333333333333
Andhra Pradesh,Guntur,2025.0,7.0,62,-47.45762711864406,96.33333333333333
Andhra Pradesh,Guntur,2025.0,8.0,140,125.80645161290325,106.66666666666667
Andhra Pradesh,Guntur,2025.0,9.0,96,-31.428571428571427,99.33333333333333
Andhra Pradesh,Guntur,2025.0,10.0,125,30.208333333333325,120.33333333333333
Andhra Pradesh,Guntur,2025.0,11.0,125,0.0,115.33333333333333
Andhra Pradesh,Guntur,2025.0,12.0,110,-12.0,120.0
Andhra Pradesh,Hyderabad,2025.0,1.0,48,,
Andhra Pradesh,Hyderabad,2025.0,2.0,74,54.16666666666667,
Andhra Pradesh,Hyderabad,2025.0,3.0,54,-27.027027027027028,58.666666666666664
Andhra Pradesh,Hyderabad,2025.0,4.0,30,-44.44444444444444,52.666666666666664
Andhra Pradesh,Hyderabad,2025.0,5.0,31,3.3333333333333437,38.333333333333336
Andhra Pradesh,Hyderabad,2025.0,6.0,41,32.258064516129025,34.0
Andhra Pradesh,Hyderabad,2025.0,7.0,27,-34.14634146341463,33.0
Andhra Pradesh,Hyderabad,2025.0,8.0,52,92.59259259259258,40.0
Andhra Pradesh,Hyderabad,2025.0,9.0,66,26.923076923076916,48.333333333333336
Andhra Pradesh,Hyderabad,2025.0,10.0,57,-13.636363636363635,58.333333333333336
Andhra Pradesh,Hyderabad,2025.0,11.0,67,17.543859649122815,63.333333333333336
Andhra Pradesh,Hyderabad,2025.0,12.0,53,-20.895522388059707,59.0
Andhra Pradesh,K.V.Rangareddy,2025.0,1.0,2,,
Andhra Pradesh,K.V.Rangareddy,2025.0,2.0,2,0.0,
Andhra Pradesh,K.V.Rangareddy,2025.0,3.0,2,0.0,2.0
Andhra Pradesh,K.V.Rangareddy,2025.0,4.0,1,-50.0,1.6666666666666667
Andhra Pradesh,K.V.Rangareddy,2025.0,5.0,5,400.0,2.6666666666666665
Andhra Pradesh,K.V.Rangareddy,2025.0,6.0,2,-60.0,2.6666666666666665
Andhra Pradesh,K.V.Rangareddy,2025.0,7.0,1,-50.0,2.6666666666666665
Andhra Pradesh,K.V.Rangareddy,2025.0,8.0,3,200.0,2.0
Andhra Pradesh,K.V.Rangareddy,2025.0,9.0,2,-33.333333333333336,2.0
Andhra Pradesh,K.V.Rangareddy,2025.0,10.0,1,-50.0,2.0
Andhra Pradesh,K.V.Rangareddy,2025.0,11.0,1,0.0,1.3333333333333333
Andhra Pradesh,K.V.Rangareddy,2025.0,12.0,3,200.0,1.6666666666666667
Andhra Pradesh,K.v. Rangareddy,2025.0,1.0,1,,
Andhra Pradesh,K.v. Rangareddy,2025.0,4.0,1,0.0,
Andhra Pradesh,K.v. Rangareddy,2025.0,7.0,1,0.0,1.0
Andhra Pradesh,Kakinada,2025.0,1.0,14,,
Andhra Pradesh,Kakinada,2025.0,2.0,25,78.57142857142858,
Andhra Pradesh,Kakinada,2025.0,3.0,19,-24.0,19.333333333333332
Andhra Pradesh,Kakinada,2025.0,4.0,9,-52.63157894736843,17.666666666666668
Andhra Pradesh,Kakinada,2025.0,5.0,23,155.55555555555554,17.0
Andhra Pradesh,Kakinada,2025.0,6.0,17,-26.086956521739136,16.333333333333332
Andhra Pradesh,Kakinada,2025.0,7.0,13,-23.529411764705888,17.666666666666668
Andhra Pradesh,Kakinada,2025.0,8.0,22,69.23076923076923,17.333333333333332
Andhra Pradesh,Kakinada,2025.0,9.0,21,-4.545454545454541,18.666666666666668
Andhra Pradesh,Kakinada,2025.0,10.0,23,9.523809523809534,22.0
Andhra Pradesh,Kakinada,2025.0,11.0,18,-21.739130434782606,20.666666666666668
Andhra Pradesh,Kakinada,2025.0,12.0,19,5.555555555555558,20.0
Andhra Pradesh,Karim Nagar,2025.0,1.0,3,,
Andhra Pradesh,Karim Nagar,2025.0,2.0,3,0.0,
Andhra Pradesh,Karim Nagar,2025.0,3.0,2,-33.333333333333336,2.6666666666666665
Andhra Pradesh,Karim Nagar,2025.0,4.0,2,0.0,2.3333333333333335
Andhra Pradesh,Karim Nagar,2025.0,5.0,2,0.0,2.0
Andhra Pradesh,Karim Nagar,2025.0,6.0,3,50.0,2.3333333333333335
Andhra Pradesh,Karim Nagar,2025.0,7.0,1,-66.66666666666667,2.0
Andhra Pradesh,Karim Nagar,2025.0,8.0,2,100.0,2.0
Andhra Pradesh,Karim Nagar,2025.0,9.0,2,0.0,1.6666666666666667
Andhra Pradesh,Karim Nagar,2025.0,10.0,1,-50.0,1.6666666666666667
Andhra Pradesh,Karim Nagar,2025.0,11.0,1,0.0,1.3333333333333333
Andhra Pradesh,Karim Nagar,2025.0,12.0,3,200.0,1.6666666666666667
Andhra Pradesh,Karimnagar,2025.0,1.0,14,,
Andhra Pradesh,Karimnagar,2025.0,2.0,24,71.42857142857142,
Andhra Pradesh,Karimnagar,2025.0,3.0,17,-29.166666666666664,18.333333333333332
Andhra Pradesh,Karimnagar,2025.0,4.0,15,-11.764705882352944,18.666666666666668
Andhra Pradesh,Karimnagar,2025.0,5.0,11,-26.66666666666667,14.333333333333334
Andhra Pradesh,Karimnagar,2025.0,6.0,12,9.090909090909083,12.666666666666666
Andhra Pradesh,Karimnagar,2025.0,7.0,9,-25.0,10.666666666666666
Andhra Pradesh,Karimnagar,2025.0,8.0,27,200.0,16.0
Andhra Pradesh,Karimnagar,2025.0,9.0,19,-29.629629629629626,18.333333333333332
Andhra Pradesh,Karimnagar,2025.0,10.0,20,5.263157894736836,22.0
Andhra Pradesh,Karimnagar,2025.0,11.0,17,-15.000000000000002,18.666666666666668
Andhra Pradesh,Karimnagar,2025.0,12.0,19,11.764705882352944,18.666666666666668
Andhra Pradesh,Khammam,2025.0,1.0,32,,
Andhra Pradesh,Khammam,2025.0,2.0,40,25.0,
Andhra Pradesh,Khammam,2025.0,3.0,23,-42.50000000000001,31.666666666666668
Andhra Pradesh,Khammam,2025.0,4.0,16,-30.434782608695656,26.333333333333332
Andhra Pradesh,Khammam,2025.0,5.0,12,-25.0,17.0
Andhra Pradesh,Khammam,2025.0,6.0,22,83.33333333333333,16.666666666666668
Andhra Pradesh,Khammam,2025.0,7.0,10,-54.54545454545454,14.666666666666666
Andhra Pradesh,Khammam,2025.0,8.0,33,229.99999999999997,21.666666666666668
Andhra Pradesh,Khammam,2025.0,9.0,23,-30.303030303030297,22.0
Andhra Pradesh,Khammam,2025.0,10.0,27,17.391304347826097,27.666666666666668
Andhra Pradesh,Khammam,2025.0,11.0,31,14.814814814814813,27.0
Andhra Pradesh,Khammam,2025.0,12.0,32,3.2258064516129004,30.0
Andhra Pradesh,Krishna,2025.0,1.0,79,,
Andhra Pradesh,Krishna,2025.0,2.0,140,77.21518987341771,
Andhra Pradesh,Krishna,2025.0,3.0,100,-28.57142857142857,106.33333333333333
Andhra Pradesh,Krishna,2025.0,4.0,47,-53.0,95.66666666666667
Andhra Pradesh,Krishna,2025.0,5.0,94,100.0,80.33333333333333
Andhra Pradesh,Krishna,2025.0,6.0,96,2.127659574468077,79.0
Andhra Pradesh,Krishna,2025.0,7.0,54,-43.75,81.33333333333333
Andhra Pradesh,Krishna,2025.0,8.0,120,122.22222222222223,90.0
Andhra Pradesh,Krishna,2025.0,9.0,98,-18.333333333333336,90.66666666666667
Andhra Pradesh,Krishna,2025.0,10.0,109,11.22448979591837,109.0
Andhra Pradesh,Krishna,2025.0,11.0,117,7.339449541284404,108.0
Andhra Pradesh,Krishna,2025.0,12.0,102,-12.82051282051282,109.33333333333333
Andhra Pradesh,Kurnool,2025.0,1.0,94,,
Andhra Pradesh,Kurnool,2025.0,2.0,132,40.42553191489362,
Andhra Pradesh,Kurnool,2025.0,3.0,118,-10.606060606060607,114.66666666666667
Andhra Pradesh,Kurnool,2025.0,4.0,68,-42.3728813559322,106.0
Andhra Pradesh,Kurnool,2025.0,5.0,106,55.88235294117647,97.33333333333333
Andhra Pradesh,Kurnool,2025.0,6.0,110,3.7735849056603765,94.66666666666667
Andhra Pradesh,Kurnool,2025.0,7.0,67,-39.090909090909086,94.33333333333333
Andhra Pradesh,Kurnool,2025.0,8.0,127,89.55223880597015,101.33333333333333
Andhra Pradesh,Kurnool,2025.0,9.0,100,-21.259842519685034,98.0
Andhra Pradesh,Kurnool,2025.0,10.0,102,2.0000000000000018,109.66666666666667
Andhra Pradesh,Kurnool,2025.0,11.0,116,13.725490196078427,106.0
Andhra Pradesh,Kurnool,2025.0,12.0,112,-3.4482758620689613,110.0
Andhra Pradesh,Mahabub Nagar,2025.0,1.0,30,,
Andhra Pradesh,Mahabub Nagar,2025.0,2.0,40,33.33333333333333,
Andhra Pradesh,Mahabub Nagar,2025.0,3.0,28,-30.000000000000004,32.666666666666664
Andhra Pradesh,Mahabub Nagar,2025.0,4.0,16,-42.85714285714286,28.0
Andhra Pradesh,Mahabub Nagar,2025.0,5.0,13,-18.75,19.0
Andhra Pradesh,Mahabub Nagar,2025.0,6.0,25,92.3076923076923,18.0
Andhra Pradesh,Mahabub Nagar,2025.0,7.0,11,-56.00000000000001,16.333333333333332
Andhra Pradesh,Mahabub Nagar,2025.0,8.0,32,190.9090909090909,22.666666666666668
Andhra Pradesh,Mahabub Nagar,2025.0,9.0,33,3.125,25.333333333333332
Andhra Pradesh,Mahabub Nagar,2025.0,10.0,35,6.060606060606055,33.333333333333336
Andhra Pradesh,Mahabub Nagar,2025.0,11.0,33,-5.714285714285716,33.666666666666664
Andhra Pradesh,Mahabub Nagar,2025.0,12.0,26,-21.212121212121215,31.333333333333332
Andhra Pradesh,Mahabubnagar,2025.0,3.0,1,,
Andhra Pradesh,Mahabubnagar,2025.0,11.0,1,0.0,
Andhra Pradesh,Mahbubnagar,2025.0,1.0,18,,
Andhra Pradesh,Mahbubnagar,2025.0,2.0,28,55.55555555555556,
Andhra Pradesh,Mahbubnagar,2025.0,3.0,14,-50.0,20.0
Andhra Pradesh,Mahbubnagar,2025.0,4.0,15,7.14285714285714,19.0
Andhra Pradesh,Mahbubnagar,2025.0,5.0,6,-60.0,11.666666666666666
Andhra Pradesh,Mahbubnagar,2025.0,6.0,14,133.33333333333334,11.666666666666666
